,Unnamed: 0.1,Unnamed: 0,name,enc
0,0.0,0.0,akshay,"[-0.07941242307424545, 0.16962623596191406, 0.006155403330922127, -0.02617933787405491, -0.0650997906923294, -0.07883217185735703, -0.06467335671186447, -0.11505652219057083, 0.1587526500225067, -0.10538862645626068, 0.12297901511192322, 0.0024228040128946304, -0.11649326980113983, -0.011871831491589546, -0.06936255842447281, 0.12216586619615555, -0.17814260721206665, -0.14477036893367767, -0.10298117995262146, -0.11890479922294617, 0.0026569953188300133, 0.06721869856119156, -0.029114125296473503, 0.03491584211587906, -0.11889463663101196, -0.28366267681121826, -0.09313956648111343, -0.07130705565214157, 0.12384485453367233, -0.06572198122739792, 0.019094083458185196, 0.012007331475615501, -0.185799703001976, -0.062168367207050323, 0.04493227228522301, 0.02210080809891224, -0.02193322591483593, -0.0918976441025734, 0.24070192873477936, 0.0722237154841423, -0.15673552453517914, 0.026944465935230255, 0.0625390037894249, 0.34492161870002747, 0.23605036735534668, 0.014046195894479752, 0.001357169821858406, -0.063286691904068, 0.06649121642112732, -0.17294135689735413, 0.06562462449073792, 0.17200031876564026, 0.024285513907670975, 0.07408492267131805, 0.09296191483736038, -0.12454052269458771, 0.020124351605772972, 0.08171046525239944, -0.1592722088098526, 0.059393446892499924, 0.05700907111167908, -0.03902650624513626, -0.06042790412902832, -0.023252341896295547, 0.15834489464759827, 0.10681599378585815, -0.04296024143695831, -0.16753599047660828, 0.17437317967414856, -0.23369482159614563, -0.08289561420679092, 0.012654880061745644, -0.0632685124874115, -0.1113799437880516, -0.2770250141620636, 0.0019074399024248123, 0.40330609679222107, 0.22369840741157532, -0.14005257189273834, 0.07116585224866867, -0.002323244931176305, -0.09020664542913437, 0.13670556247234344, 0.0922873318195343, -0.12386364489793777, -0.01741648279130459, -0.01774035394191742, 0.06357713788747787, 0.21399669349193573, 0.09286406636238098, -0.10030549764633179, 0.18632300198078156, -0.028700944036245346, -0.07743242383003235, 0.037606507539749146, 0.001521856407634914, -0.11697711795568466, -0.025893080979585648, -0.10558899492025375, -0.10569766908884048, 0.15662752091884613, -0.07033677399158478, 0.018079180270433426, 0.2269410789012909, -0.2152864784002304, 0.13530221581459045, -0.014938265085220337, -0.00704631581902504, 0.0374021977186203, 0.09672416746616364, -0.10740834474563599, -0.019438965246081352, 0.18907631933689117, -0.12778040766716003, 0.21184676885604858, 0.17954257130622864, -0.02523091249167919, 0.07800659537315369, 0.11599678546190262, 0.045514851808547974, 0.01823723316192627, 0.007219858001917601, -0.1507435441017151, -0.1186012327671051, -0.03618420287966728, -0.0131155326962471, 0.12715305387973785, 0.0406683087348938]"
1,1.0,1.0,akshay,"[-0.07097163796424866, 0.12060601264238358, 0.027082353830337524, -0.044635262340307236, -0.09676894545555115, -0.050926513969898224, -0.025658870115876198, -0.0890108123421669, 0.1547611653804779, -0.13777890801429749, 0.14513364434242249, 0.046874262392520905, -0.11554169654846191, 0.005174674093723297, -0.10734746605157852, 0.10612235963344574, -0.1453123390674591, -0.17170368134975433, -0.11596895009279251, -0.06107446551322937, -0.0022544427774846554, 0.07872771471738815, -0.028664888814091682, 0.022167962044477463, -0.10098922252655029, -0.2715090811252594, -0.06965583562850952, -0.07262945920228958, 0.1292409598827362, -0.0734352096915245, 0.04212144389748573, 0.05456092208623886, -0.1819949597120285, -0.03917728364467621, 0.014131378382444382, 0.030178043991327286, -0.031560078263282776, -0.04962141811847687, 0.21823498606681824, 0.08811706304550171, -0.20599108934402466, 0.07003537565469742, 0.022895067930221558, 0.3818865418434143, 0.19220495223999023, 0.010505604557693005, 0.01642070896923542, -0.08883016556501389, 0.04059190675616264, -0.18316935002803802, 0.046706683933734894, 0.16812971234321594, 0.052424460649490356, 0.03544685244560242, 0.08956055343151093, -0.13396990299224854, 0.07001202553510666, 0.0510375015437603, -0.17571668326854706, 0.08145314455032349, 0.078366719186306, -0.006154589354991913, -0.004403798840939999, -0.009739851579070091, 0.14248676598072052, 0.04506237432360649, -0.027664072811603546, -0.12981973588466644, 0.21212837100028992, -0.21599142253398895, -0.04662572592496872, 0.052827220410108566, -0.07379463315010071, -0.12723246216773987, -0.2128809094429016, -0.008362051099538803, 0.41942334175109863, 0.21657299995422363, -0.12203244119882584, 0.06661205738782883, -0.03398498147726059, -0.06787409633398056, 0.1252869963645935, 0.05199503153562546, -0.135480597615242, -0.03430813178420067, -0.06196161359548569, 0.06526803970336914, 0.21406833827495575, 0.08137032389640808, -0.060406871140003204, 0.1698475182056427, 0.030358999967575073, -0.14480943977832794, 0.05898258835077286, 0.0033646798692643642, -0.1190238818526268, 0.007310551591217518, -0.13676437735557556, -0.07702897489070892, 0.08209165930747986, -0.11996211856603622, 0.005450976546853781, 0.20054832100868225, -0.20600637793540955, 0.1482442021369934, -0.017363525927066803, -0.037270136177539825, 0.033333294093608856, 0.11429387331008911, -0.10475608706474304, -0.04124624654650688, 0.1779990941286087, -0.11477725952863693, 0.2042781263589859, 0.18886078894138336, 0.016728056594729424, 0.06948458403348923, 0.11258567124605179, 0.05678176134824753, -0.020690947771072388, -0.005480298772454262, -0.1522357314825058, -0.12506256997585297, -0.03519459441304207, -0.05060591548681259, 0.11147022247314453, 0.040465690195560455]"
2,2.0,2.0,akshay,"[-0.08211351931095123, 0.08728897571563721, 0.017547573894262314, -0.050914082676172256, -0.06491682678461075, -0.0716218575835228, -0.03797537088394165, -0.06760882586240768, 0.1360338181257248, -0.13889840245246887, 0.13869644701480865, 0.02716841548681259, -0.1287173181772232, -0.0040092021226882935, -0.07238050550222397, 0.10002341121435165, -0.14294089376926422, -0.1378677487373352, -0.07047760486602783, -0.09489473700523376, 0.03279941529035568, 0.10805555433034897, -0.037278566509485245, 0.013364514335989952, -0.12441936880350113, -0.2599624991416931, -0.09626654535531998, -0.10408106446266174, 0.11091215908527374, -0.10500693321228027, 0.032625049352645874, 0.014554308727383614, -0.15101099014282227, -0.0076493024826049805, 0.027115264907479286, 0.057111889123916626, -0.05630403757095337, -0.07537029683589935, 0.22205260396003723, 0.09155762195587158, -0.14050666987895966, -0.00945446826517582, 0.006020084023475647, 0.3391995131969452, 0.16874529421329498, 0.021821146830916405, 0.029777301475405693, -0.09937644004821777, 0.0288238562643528, -0.15591372549533844, 0.06370270252227783, 0.14358600974082947, 0.022566290572285652, 0.090188167989254, 0.05452921614050865, -0.14829540252685547, 0.07934048771858215, 0.016736101359128952, -0.1969926655292511, 0.06414700299501419, 0.08023305237293243, -0.03268037363886833, -0.05828525125980377, 0.013675428926944733, 0.15738731622695923, 0.06378354132175446, -0.027455832809209824, -0.16437695920467377, 0.21593163907527924, -0.26289069652557373, -0.06748207658529282, 0.060168396681547165, -0.06761609762907028, -0.12365202605724335, -0.1870928853750229, -0.027177222073078156, 0.3830656409263611, 0.222834974527359, -0.1177683174610138, 0.04782385379076004, -0.021500863134860992, -0.07713672518730164, 0.15980485081672668, 0.06543046981096268, -0.10615062713623047, 0.004371353425085545, -0.050681088119745255, 0.08266124874353409, 0.20148421823978424, 0.05347598344087601, -0.07602451741695404, 0.1402880847454071, 0.03135639429092407, -0.07154256105422974, 0.08299524337053299, -0.019926875829696655, -0.08913557231426239, 0.00578305684030056, -0.07643633335828781, -0.07756146788597107, 0.10690715909004211, -0.10953423380851746, 0.012065360322594643, 0.20136065781116486, -0.16257242858409882, 0.2071688175201416, -0.013604890555143356, -0.051035135984420776, 0.012038360349833965, 0.0875946655869484, -0.11354199796915054, -0.038183778524398804, 0.19122520089149475, -0.11476822942495346, 0.1857842355966568, 0.18842296302318573, 0.012503343634307384, 0.10064490139484406, 0.07381752878427505, 0.10241454839706421, -0.04129627346992493, -0.017192509025335312, -0.2089485377073288, -0.08445316553115845, -0.060096319764852524, -0.010981339029967785, 0.11798384040594101, 0.023974701762199402]"
3,3.0,3.0,akshay,"[-0.08465079963207245, 0.104525625705719, 0.019369779154658318, -0.010498883202672005, -0.05571954324841499, -0.052546724677085876, -0.03643036633729935, -0.08214528858661652, 0.11337240040302277, -0.12416919320821762, 0.15595924854278564, 0.014354774728417397, -0.1499931365251541, -0.03415398299694061, -0.041029538959264755, 0.11453716456890106, -0.16708771884441376, -0.12909777462482452, -0.12408863008022308, -0.08849826455116272, -0.012610459700226784, 0.08074717968702316, -0.030504809692502022, 0.010516728274524212, -0.128752201795578, -0.33734315633773804, -0.065585657954216, -0.07642117887735367, 0.09543031454086304, -0.05384752154350281, 0.05331861227750778, 0.02924644760787487, -0.1455003321170807, 0.0011746343225240707, 0.0091321412473917, 0.041158322244882584, -0.051057327538728714, -0.08267651498317719, 0.22414711117744446, 0.08630761504173279, -0.16023804247379303, 0.04260629042983055, 0.03120327927172184, 0.3338490426540375, 0.21577142179012299, 0.010571419261395931, 0.03315739333629608, -0.10904747992753983, 0.018050748854875565, -0.19903302192687988, 0.044351380318403244, 0.16524691879749298, -0.005554952193051577, 0.10103573650121689, 0.06884749978780746, -0.132475808262825, 0.04805033653974533, 0.039945945143699646, -0.17398564517498016, 0.03456719219684601, 0.039159249514341354, -0.02218303270637989, -0.043116260319948196, -0.0020664073526859283, 0.16872704029083252, 0.08252744376659393, -0.04936553165316582, -0.11531022191047668, 0.17432290315628052, -0.2304251790046692, -0.07925307750701904, 0.01098786760121584, -0.05973254516720772, -0.15035012364387512, -0.2389947474002838, 0.035884324461221695, 0.3872208893299103, 0.24561403691768646, -0.15901118516921997, 0.047623176127672195, -0.0354817770421505, -0.08305226266384125, 0.16515213251113892, 0.07359283417463303, -0.11599089205265045, -0.06227882578969002, -0.04619230329990387, 0.08117455244064331, 0.19585075974464417, 0.07547855377197266, -0.0681842491030693, 0.17732684314250946, 0.0340137854218483, -0.09187160432338715, 0.072690449655056, 0.006895925849676132, -0.12400379776954651, 0.002611231990158558, -0.1209280788898468, -0.11723838746547699, 0.167589470744133, -0.08062125742435455, 0.04616760462522507, 0.18079443275928497, -0.19165153801441193, 0.21321342885494232, 0.008683557622134686, -0.05464255437254906, 0.09432481974363327, 0.08060596883296967, -0.0877089649438858, -0.013469290919601917, 0.1876634806394577, -0.11120083928108215, 0.2175118774175644, 0.18069511651992798, 0.029633892700076103, 0.13731959462165833, 0.12900832295417786, 0.08875035494565964, -0.05685674771666527, -0.0037671439349651337, -0.16307789087295532, -0.08558991551399231, -0.04051975905895233, 0.022211581468582153, 0.12872740626335144, 0.032877810299396515]"
4,4.0,4.0,akshay,"[-0.08624132722616196, 0.14172512292861938, 0.017849691212177277, -0.044235438108444214, -0.08218925446271896, -0.10046322643756866, -0.06538423895835876, -0.0847284123301506, 0.1479610651731491, -0.12119998782873154, 0.17670345306396484, 0.03587259724736214, -0.13351023197174072, -0.07072648406028748, -0.031584449112415314, 0.1377817541360855, -0.20546495914459229, -0.11216188967227936, -0.10387611389160156, -0.11223359405994415, 0.039503343403339386, 0.09324171394109726, 0.001153322635218501, 0.005162528716027737, -0.1124463751912117, -0.2262534648180008, -0.0870952308177948, -0.09596119821071625, 0.14003273844718933, -0.09742467850446701, 0.029123879969120026, -0.021940751001238823, -0.19631478190422058, -0.08724014461040497, 0.038724277168512344, 0.013772154226899147, -0.027286626398563385, -0.07263846695423126, 0.22550556063652039, 0.07891736179590225, -0.18625731766223907, 0.06915178894996643, 0.00531887449324131, 0.30418482422828674, 0.2130402773618698, 0.018328318372368813, -0.015775831416249275, -0.0882325991988182, 0.07059020549058914, -0.14281928539276123, 0.04606474190950394, 0.14897629618644714, 0.07312437891960144, 0.03433660790324211, 0.06285819411277771, -0.15096208453178406, 0.054706916213035583, 0.07639899849891663, -0.19390854239463806, 0.01849985308945179, 0.11370264738798141, -0.08694969117641449, -0.053228676319122314, 0.009643267840147018, 0.13703127205371857, 0.08792567998170853, -0.03100195899605751, -0.18164129555225372, 0.20776933431625366, -0.18126222491264343, -0.06957422196865082, 0.057856786996126175, -0.06762204319238663, -0.08372660726308823, -0.24733270704746246, -0.018928030505776405, 0.3782796859741211, 0.1776651293039322, -0.16287924349308014, 0.037954580038785934, -0.033449359238147736, -0.01622920297086239, 0.12693989276885986, 0.07770585268735886, -0.1171526312828064, -0.022860845550894737, -0.04641743749380112, 0.041864827275276184, 0.14239510893821716, 0.052012261003255844, -0.07740776985883713, 0.16304871439933777, 0.02679016813635826, -0.05014718323945999, 0.08000122010707855, -0.04691053181886673, -0.10929285734891891, -0.03284412622451782, -0.09070830792188644, -0.08147357404232025, 0.10571785271167755, -0.11069335043430328, 0.020883917808532715, 0.19865567982196808, -0.16122017800807953, 0.15578405559062958, -0.006854698993265629, -0.02845359593629837, -0.004216003697365522, 0.09607431292533875, -0.05767275393009186, -0.006263412069529295, 0.14609476923942566, -0.1278313547372818, 0.26106250286102295, 0.18390916287899017, -0.02467499114573002, 0.09231017529964447, 0.11047863215208054, 0.08766467869281769, -0.05642999708652496, 0.00523159746080637, -0.17272725701332092, -0.12853661179542542, -0.03945194557309151, -0.026348937302827835, 0.17269940674304962, 0.024109933525323868]"
5,5.0,5.0,akshay,"[-0.07388082891702652, 0.1638745218515396, 0.044614553451538086, -0.03628963604569435, -0.061782047152519226, -0.043622396886348724, -0.0867048129439354, -0.09918033331632614, 0.14781761169433594, -0.13101288676261902, 0.19913814961910248, 0.06319092959165573, -0.10732045024633408, -0.04902663081884384, -0.07755150645971298, 0.1003054678440094, -0.15183007717132568, -0.1513957977294922, -0.07618846744298935, -0.08589646220207214, 0.01166539266705513, 0.06868880242109299, -0.0016645458526909351, 0.022945653647184372, -0.13452725112438202, -0.31448009610176086, -0.07981590926647186, -0.08089786767959595, 0.08969559520483017, -0.0937630757689476, 0.02190747857093811, 0.0257400032132864, -0.19171684980392456, -0.0554550401866436, 0.002895807847380638, 0.04895590990781784, -0.05608631670475006, -0.061360012739896774, 0.2143656611442566, 0.07371688634157181, -0.15590400993824005, 0.03129719942808151, 0.01108065526932478, 0.36179015040397644, 0.20271708071231842, 0.006120540201663971, 0.01156364195048809, -0.08574137091636658, 0.03600379079580307, -0.17875881493091583, 0.08672191947698593, 0.16341054439544678, 0.022422002628445625, 0.07243694365024567, 0.08816288411617279, -0.1119367852807045, 0.046937599778175354, 0.04407062381505966, -0.14098066091537476, 0.04766788333654404, 0.05078379064798355, -0.0399983674287796, -0.04245217889547348, -0.038142554461956024, 0.17690762877464294, 0.09681686013936996, -0.03695494681596756, -0.1301903873682022, 0.19391585886478424, -0.17822933197021484, -0.09397219121456146, 0.023278851062059402, -0.0700984075665474, -0.1327434927225113, -0.2580273747444153, 0.03392508625984192, 0.39968571066856384, 0.23198260366916656, -0.1826426088809967, 0.050921354442834854, -0.0217296052724123, -0.06934288889169693, 0.141580268740654, 0.08273869752883911, -0.1137906014919281, -0.00567807350307703, -0.04946078360080719, 0.0690893903374672, 0.18928632140159607, 0.08964067697525024, -0.1099434643983841, 0.17695409059524536, 0.0029524117708206177, -0.04997694492340088, 0.10915670543909073, 0.011988182552158833, -0.11765220761299133, 0.003322029020637274, -0.1748497486114502, -0.0777660459280014, 0.11934250593185425, -0.07401841878890991, -0.01801520586013794, 0.21180522441864014, -0.1559203714132309, 0.1673033982515335, 0.010832898318767548, -0.03300607576966286, 0.05483696982264519, 0.10661802440881729, -0.12844999134540558, -0.06728935241699219, 0.17181779444217682, -0.12009137123823166, 0.21595673263072968, 0.16588398814201355, 0.03253856673836708, 0.12035953253507614, 0.15586413443088531, 0.07653596997261047, -0.023659100756049156, -0.015612977556884289, -0.1697702407836914, -0.10506976395845413, -0.013989739120006561, -0.017242223024368286, 0.11994682997465134, 0.03489687293767929]"
6,6.0,6.0,akshay,"[-0.07779628783464432, 0.16814284026622772, 0.07342521846294403, 0.004054873716086149, -0.08192910999059677, -0.023273063823580742, -0.043025240302085876, -0.08648654073476791, 0.13933923840522766, -0.12415746599435806, 0.14119143784046173, 0.0203111432492733, -0.11450453102588654, -0.019320663064718246, -0.043991878628730774, 0.09955041855573654, -0.15672960877418518, -0.18209484219551086, -0.04471656307578087, -0.08063018321990967, 4.4179148972034454e-05, 0.06782828271389008, -0.030501412227749825, 0.006457533687353134, -0.09565186500549316, -0.30676376819610596, -0.08868670463562012, -0.07451160997152328, 0.14314794540405273, -0.07836571335792542, -0.0061791641637682915, -0.003177919425070286, -0.148068368434906, -0.03443281352519989, 0.030224960297346115, 0.06249356269836426, -0.045656654983758926, -0.07202477008104324, 0.20891420543193817, 0.040933892130851746, -0.1617463231086731, 0.030346497893333435, 0.0037978067994117737, 0.35834261775016785, 0.2202451378107071, 0.043220143765211105, 0.0023164600133895874, -0.08755705505609512, 0.029253019019961357, -0.1500551998615265, 0.08298324048519135, 0.17519132792949677, 0.025417309254407883, 0.09226009994745255, 0.05185502767562866, -0.1483219712972641, 0.027444586157798767, 0.04263493791222572, -0.1571962684392929, 0.05785208195447922, 0.04895757511258125, -0.05383733659982681, 0.007498649880290031, -0.012161590158939362, 0.19333738088607788, 0.07486376911401749, -0.03285796940326691, -0.17062389850616455, 0.18022066354751587, -0.2364090532064438, -0.08960676193237305, 0.02044609934091568, -0.07407613098621368, -0.10797002166509628, -0.22064347565174103, 0.02187456749379635, 0.4028039872646332, 0.21557340025901794, -0.15354132652282715, 0.06072526052594185, -0.0037513563875108957, -0.07749993354082108, 0.1407185047864914, 0.136901393532753, -0.11627839505672455, -0.008591829799115658, -0.05248396843671799, 0.039553068578243256, 0.20023252069950104, 0.064717136323452, -0.0980742797255516, 0.15717007219791412, -0.011293934658169746, -0.051134541630744934, 0.08602460473775864, -0.004903484135866165, -0.08930251002311707, 0.02673148177564144, -0.12298833578824997, -0.11523791402578354, 0.10534126311540604, -0.08991402387619019, 0.01199323870241642, 0.2212255597114563, -0.1936006098985672, 0.17882174253463745, -0.018838297575712204, 0.0001590913161635399, 0.03821457549929619, 0.07531094551086426, -0.08538702875375748, -0.02821262925863266, 0.20420929789543152, -0.15555860102176666, 0.2158813625574112, 0.19649651646614075, 0.012953081168234348, 0.12230315804481506, 0.11462513357400894, 0.08434078097343445, 0.009288052096962929, -0.013599235564470291, -0.17121154069900513, -0.07360301166772842, -0.037909045815467834, -0.02347663789987564, 0.12418777495622635, 0.06249712035059929]"
7,7.0,7.0,akshay,"[-0.05195094272494316, 0.14933675527572632, 0.045008573681116104, -0.02971608377993107, -0.08207345753908157, -0.05594627186655998, -0.03250298649072647, -0.08077066391706467, 0.1658061295747757, -0.13155095279216766, 0.12999506294727325, 0.015078887343406677, -0.13822416961193085, 0.022973621264100075, -0.07274104654788971, 0.0873490497469902, -0.174599289894104, -0.14988887310028076, -0.07585112750530243, -0.1260693520307541, 0.006058266386389732, 0.07175470143556595, -0.016343185678124428, 0.011523114517331123, -0.1307511180639267, -0.3004961609840393, -0.11173108220100403, -0.07441599667072296, 0.14205338060855865, -0.061735037714242935, 0.033182498067617416, 0.021911147981882095, -0.16106590628623962, -0.025670098140835762, 0.009710511192679405, 0.04878026247024536, -0.06149671971797943, -0.07390901446342468, 0.22214259207248688, 0.06723847985267639, -0.146081805229187, 0.034119293093681335, 0.018703442066907883, 0.35096675157546997, 0.19776038825511932, 0.037847407162189484, 0.012885712087154388, -0.0832105353474617, 0.029570896178483963, -0.156757652759552, 0.070669986307621, 0.2035294473171234, 0.02103044092655182, 0.08433268219232559, 0.08850061148405075, -0.10096369683742523, 0.04048532992601395, 0.05069201812148094, -0.14789722859859467, 0.06749316304922104, 0.07950512319803238, -0.02801416628062725, -0.027428925037384033, -0.02583819255232811, 0.14738893508911133, 0.07067487388849258, -0.029244687408208847, -0.15096506476402283, 0.2192014753818512, -0.2658674716949463, -0.10632949322462082, 0.016222834587097168, -0.06356224417686462, -0.11381129920482635, -0.23504003882408142, 0.01325405202805996, 0.3887682259082794, 0.24312154948711395, -0.12864278256893158, 0.048755232244729996, 0.0025421639438718557, -0.07744938880205154, 0.15376916527748108, 0.10201012343168259, -0.13876904547214508, -0.024070335552096367, -0.06616176664829254, 0.06379763782024384, 0.20437940955162048, 0.05692191421985626, -0.08619917184114456, 0.1690831482410431, 0.022690268233418465, -0.05260124430060387, 0.06479455530643463, -0.0031428104266524315, -0.1282615065574646, 0.0039304629899561405, -0.1470630019903183, -0.0801621526479721, 0.13390876352787018, -0.07753901928663254, -0.018420172855257988, 0.22473576664924622, -0.16018381714820862, 0.17123711109161377, -0.016822852194309235, -0.0529678575694561, 0.024270499125123024, 0.1082945168018341, -0.12275322526693344, -0.05976211652159691, 0.20599716901779175, -0.11186839640140533, 0.17981569468975067, 0.20604436099529266, -0.010090043768286705, 0.08263860642910004, 0.12250712513923645, 0.0844755470752716, -0.006019989028573036, -0.014391586184501648, -0.1846378594636917, -0.11535142362117767, -0.055233098566532135, -0.026217617094516754, 0.07837486267089844, 0.03920498490333557]"
8,8.0,8.0,akshay,"[-0.08830953389406204, 0.11745401471853256, 0.0046752034686505795, -0.025475364178419113, -0.058817096054553986, -0.0995553508400917, -0.04441283643245697, -0.12128660827875137, 0.16263265907764435, -0.15888306498527527, 0.10298335552215576, 0.019180893898010254, -0.13886728882789612, -0.04577087238430977, -0.07391804456710815, 0.10417575389146805, -0.17230015993118286, -0.13760189712047577, -0.08391819894313812, -0.07691041380167007, -0.00134665472432971, 0.0895671471953392, 0.006193049717694521, -0.0068826512433588505, -0.1095057874917984, -0.28909289836883545, -0.11529119312763214, -0.05165572464466095, 0.09150516986846924, -0.03585388511419296, 0.049461834132671356, 0.04254947602748871, -0.1903563290834427, -0.03820692002773285, 0.018060000613331795, 0.090870201587677, -0.039519455283880234, -0.07772664725780487, 0.24665467441082, 0.0799030140042305, -0.1257164478302002, 0.015133919194340706, 0.015950558707118034, 0.32618600130081177, 0.17435292899608612, -0.008682363666594028, -0.0009425990283489227, -0.10311009734869003, 0.04601876065135002, -0.14721983671188354, 0.04836633801460266, 0.16438844799995422, 0.021572256460785866, 0.05383232980966568, 0.08043892681598663, -0.11212079226970673, 0.08201470971107483, 0.06428290903568268, -0.18925607204437256, 0.03679770231246948, 0.07755935937166214, -0.059670038521289825, -0.054727375507354736, 0.010810637846589088, 0.14915259182453156, 0.0734889954328537, -0.022223323583602905, -0.14257091283798218, 0.21390177309513092, -0.2377879023551941, -0.04895070567727089, 0.01235773041844368, -0.04064219072461128, -0.119930699467659, -0.25248903036117554, -0.01535096950829029, 0.3755042552947998, 0.23561201989650726, -0.12466228008270264, 0.06214309483766556, -0.020504839718341827, -0.10142406821250916, 0.15088871121406555, 0.08310971409082413, -0.12782414257526398, -0.010976231656968594, -0.07967040687799454, 0.08113498240709305, 0.18806637823581696, 0.08876290917396545, -0.08503459393978119, 0.174459770321846, 0.03594474494457245, -0.05829732492566109, 0.06739985942840576, -0.0624377503991127, -0.11525033414363861, -0.021393317729234695, -0.13203619420528412, -0.07767245173454285, 0.13543319702148438, -0.10679148882627487, 0.004167712759226561, 0.21127276122570038, -0.14637036621570587, 0.15052102506160736, -0.0007836204022169113, -0.06443499028682709, 0.031219372525811195, 0.0636352077126503, -0.13104042410850525, -0.03773980587720871, 0.17709976434707642, -0.10640641301870346, 0.18523146212100983, 0.14604386687278748, -0.013741636648774147, 0.12147065252065659, 0.12223998457193375, 0.10268785804510117, -0.04054035246372223, -0.007525423541665077, -0.1746107041835785, -0.10744763910770416, -0.047529954463243484, 0.009071324951946735, 0.15821027755737305, 0.047827769070863724]"
9,9.0,9.0,akshay,"[-0.0724119022488594, 0.1252930909395218, 0.005499701015651226, -0.026948856189846992, -0.05751318112015724, -0.07781030237674713, -0.05329957604408264, -0.09248124063014984, 0.13942107558250427, -0.09852175414562225, 0.11558383703231812, 0.011959941126406193, -0.1356177181005478, -0.07217845320701599, -0.059812139719724655, 0.12598136067390442, -0.1422623246908188, -0.18027958273887634, -0.05717325955629349, -0.09912237524986267, 0.02858845889568329, 0.07004347443580627, 0.02229340933263302, 0.03211379796266556, -0.16263161599636078, -0.29821717739105225, -0.09378866851329803, -0.08114783465862274, 0.07975202798843384, -0.06891781091690063, 0.003644753247499466, 0.01385937537997961, -0.18827655911445618, -0.03804629296064377, 0.04070567339658737, 0.08568833023309708, -0.04232742637395859, -0.09044361859560013, 0.2072010636329651, 0.0762190893292427, -0.17624810338020325, 0.014358878135681152, 0.018681269139051437, 0.3490293323993683, 0.20716163516044617, 6.525637581944466e-05, 0.007611284032464027, -0.06293930113315582, 0.02550320327281952, -0.13499729335308075, 0.0867493748664856, 0.16231669485569, 0.019892141222953796, 0.05394996702671051, 0.0577433705329895, -0.0956408679485321, 0.04391893744468689, 0.06658945232629776, -0.16779568791389465, 0.02343989536166191, 0.05836464837193489, -0.043031059205532074, -0.02992769330739975, -0.02885979227721691, 0.15360794961452484, 0.08529215306043625, -0.04880690202116966, -0.13355542719364166, 0.18448853492736816, -0.2370457947254181, -0.06566908955574036, -0.004311063792556524, -0.07765377312898636, -0.11761078238487244, -0.27048808336257935, -0.008829543367028236, 0.37946829199790955, 0.20574066042900085, -0.1418088972568512, 0.06067593768239021, 0.00818696990609169, -0.04277946799993515, 0.13148832321166992, 0.10111252218484879, -0.13001765310764313, 0.04368428885936737, -0.06557462364435196, 0.06914667785167694, 0.19763046503067017, 0.06445880979299545, -0.10428503155708313, 0.16625215113162994, -0.008303860202431679, -0.04648955911397934, 0.10475949943065643, -0.011113354936242104, -0.09364670515060425, -0.005667919758707285, -0.11729509383440018, -0.0669500008225441, 0.10758601874113083, -0.12163367867469788, 0.009814377874135971, 0.2091892957687378, -0.1534421592950821, 0.1361677199602127, 0.014438439160585403, -0.020555853843688965, 0.022237781435251236, 0.11896444112062454, -0.13394713401794434, -0.08440390229225159, 0.1598937213420868, -0.10908344388008118, 0.1902254819869995, 0.1881730556488037, 0.014885682612657547, 0.10102307796478271, 0.1270350217819214, 0.08633469045162201, -0.029081076383590698, -0.002340204082429409, -0.15298312902450562, -0.07904810458421707, -0.030038245022296906, -0.0018843719735741615, 0.15506845712661743, 0.059402626007795334]"
